"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"Agricultural and Biological Engineering","Acting","Accounting","Adult Education","Aeronautical","Acupuncture","African","Applied and Computational Mathematics","Advanced Chemistry and Materials","Advertising","Addiction Counseling","Aeronautics and Astronautics"
"Agricultural and Environmental Biology","Advertising","Accounting and Auditing","Applied English","Aeronautical Engineering","Aerospace Physiology","African American and Diaspora Studies","Applied Data Science","African American and African Diaspora Studies","African","Applied Mathematics","Aerospace and Aeronautical Engineering"
"Agricultural and Environmental Systems Science","Ancient Near Eastern and Egyptian Studies","Accounting and Finance","Applied Mathematics","Aerospace Engineering","Allied Health","African American Studies","Applied Mathematics","Agricultural and Environmental Biology","African American and Diaspora Studies","Biochemistry","Aerospace Engineering"
"Agricultural and Extension Education","Animation","Accounting and Information","Applied Psychologyand Human Development","Aerospace Engineering Biotechnology","Allied Health Science","African and African American Studies","Applied Mathematics and Statistics","Agricultural Biotechnology","African American Studies","Biology","Air Traffic Management"
"Agricultural and Life Science","Animation and Special Effects","Accounting and Information Systems","Art Education","Agricultural and Food Engineering","Anatomical Science","Africana Studies","Artificial Intelligence","Agricultural Botany","Agricultural Economics","Business Support Services","Air Transport"
"Agricultural Biotechnology","Animation and VFX","Accounting for Finance and Consulting","Art Teacher Education","Agricultural and Irrigation Engineering","Applied Biosciences","African-American/Black Studies","Artificial Intelligence and Data Science","Agricultural Chemistry","Agricultural Extension","Chemistry","Anthropology"
"Agricultural Botany","Animation Film Design","Actuarial Science","Biology","Agricultural Engineering","Applied Mathematics","American Cultures","Artificial Intelligence and Machine Learning","Agricultural Meteorology","Agricultural Statistics","Community Organization and Advocacy","Aviation"
"Agricultural Business","Apparel","Actuarial Studies","Biology Education","Applied Chemistry","Applied Mathematics and Statistics","American Indian Studies","Artificial Intelligence and Robotics","Agricultural Microbiology","American Studies","Community Resource Development","Aviation Safety"
"Agricultural Business Management","Applied Art","Administrative Law","Biology Pedagogy","Applied Electronics and Instrumentation","Applied Physiology and Kinesiology","American Politics and Law","Artificial Intelligence Medical Data","Agricultural Physics","Anthropology","Community sustainability","Aviation Security"
"Agricultural Chemistry","Applied Music","Advertising","Biology Teaching","Applied Physics","Athletic Training","American Studies","Automation and Control Engineering Technology","Agricultural Zoology","Area Studies","Computational Science","Civil Transport Engineering"
"Agricultural Economics","Archaeology","Advertising and Public Relations","Chemistry","Architectural Engineering","Athletic Training/trainer","American/United States Studies","Big Data","Agronomy","Asian American Studies","Economics","Communication Studies"
"Agricultural Education","Architectural Design","Agricultural Business","Chemistry Education","Architecture","Audiology and Speech-Language Pathology","Ancient History","Bioinformatics","American Studies","Behavioral and Brain Science","Environmental Science","Criminal Justice"
"Agricultural Education and Communication","Architectural Engineering","Agricultural Business Management","Chemistry Pedagogy","Architecture and Building Engineering","Ayurveda","Ancient History and Archaeology","Biotechnology","Animal Biology","Behavioral Decision Science","Environmental Studies","Criminal Justice and Corrections"
"Agricultural Engineering","Architectural Studies","Agricultural Economics","Chemistry Teaching","Artificial Intelligence","Ayurvedic Medicine","Ancient Near Eastern and Egyptian Studies","Business Analytics","Animal Genetics and Breeding","Behavioral Economics Policy and Orgs","Event Management","Criminal Justice and Law Enforcement Administration"
"Agricultural Entomology","Architecture","Apparel Management","Child","Artificial Intelligence and Data Science","Beauty Care","Ancient Studies/Archaeology","Business Information Technology","Anthropology","Business and Entrepreneurship","Family and Child Ecology","Criminal Justice/Safety Studies"
"Agricultural Extension","Architecture and Interior Design","Applied Economics","Child and Family Studies","Artificial Intelligence and Machine Learning","Behavior and Health Science","Ancient Studies/Civilization","Business Intelligence","Applied Biological Chemistry","Chicana/o Studies","Healthcare Administration/Management","Defence Studies"
"Agricultural Journalism","Art","Applied Economics and Management","Child Development","Automobile Engineering","Bio and Brain Engineering","Anthropology","Cloud Computing","Applied Biological Science","Child Development","Healthcare Management","Economics"
"Agricultural Leadership","Art Administration","Applied Finance","Childhood Education","Biomedical Engineering","Biochemistry","Applied Linguistics","Cognitive Science","Applied Biology","Child Studies","Hospitality","Emergency Management"
"Agricultural Meteorology","Art and Archaeology","Applied Mathematics and Statistics","Chinese pedegogy","Biotechnology","Biochemistry and Biophysics","Applied Mathematics","Computational and Applied Mathematics","Applied Chemistry","Child Welfare","Hospitality Administration and Management","Epigraphy and Heritage Management"
"Agricultural Microbiology","Art and Art History","Applied Psychology","Christian Education","Biotechnology Engineering","Biochemistry and Cell Biology","Arabic","Computational Biology","Applied Data Science","Childcare","Hospitality and Event Management","Fire Science"
"Agricultural Physics","Art and Culture Studies","Art and Laws","Civic Education","Chemical Engineering","Biochemistry and Molecular Biology","Arabic Language and Culture","Computational Science and Engineering","Applied Mathematics","Clothing and Textiles","Hospitality and Tourism Management","Fitness Management"
"Agricultural Science","Art and Design","Auditing","Counseling","Chemical Science and Engineering","Bioengineering","Arabic Language and Literature","Computational Social Science","Applied Mathematics / Computational and Applied Mathematics","Cognitive Neuroscience","Hospitality Management","Flight Operation"
"Agricultural Statistics","Art and Technology","Aviation Business Administration","Counseling and Applied Psychological Science","Civil","Bio-food and Pharmaceutical Science","Arabic Studies","Computer and Communication Engineering","Applied Mathematics and Statistics","Cognitive Science","Hotel Management","Geology"
"Agricultural Systems","Art Conservation","Aviation Management","Counseling and Human Services","Civil and Environmental Engineering","Bioinformatics","Archaeology","Computer and Information Engineering","Applied Physics","Commerce","Human Development and Family Science","Homeland Security and Disaster Management"
"Agricultural Systems Management","Art Creation","Banking","Counseling and Personnel Services","Civil Engineering","Biological Chemistry","Architecture","Computer and Information Science","Applied Physics and Electronics","Communication","Human Development and Family Studies","International Relations"
"Agricultural Systems Technology","Art Education","Banking and Finance","Curriculum and Instruction","Cloud Computing","Biological Engineering","Area Studies","Computer and Information Science and Engineering","Applied Psychology","Communication and Media Studies","Human Resources and Labour Relations","Journalism"
"Agricultural Technology","Art History","Business","Curriculum and Teaching","Computer and Communication Engineering","Biological Science","Art","Computer and Information Systems Security","Applied Science","Communication Art","Human Services","Legal Studies"
"Agricultural Zoology","Art History and Archaeology","Business Administration","Curriculum Studies","Computer Engineering","Biology","Art and Humanities","Computer and Information Systems Security/Auditing/Information Assurance","Aquaculture","Communication Studies","Laboratory Technician","Logistics Engineering"
"Agriculture","Art History/Criticism and Conservation","Business Administration and Laws","Early Childhood and Primary Education","Computer Science","Biology/Biological Science","Art and Social Science","Computer Applications","Arabic Studies","Community Engagement","Leisure Studies","Logistics Management"
"Agriculture and Biosystems Engineering","Art Management and Art Entrepreneurship","Business Administration and Management","Early Childhood Care and Education","Computer Science and Automation","Biomathematics","Asian and Middle Eastern Studies","Computer Engineering","Astronomy","Community Organization and Advocacy","Library and Information Science","Marine Engineering"
"Agronomy","Art Practice","Business Analytics","Early Childhood Education","Computer Science and Engineering","Biomedical Computation","Asian Studies","Computer Engineering Technology","Astronomy and Astrophysics","Community Science","Mathematics","Maritime Operations"
"Animal and Dairy Science","Art Studies","Business and Administration","Early Childhood Education and Care","Computer Science and Information Technology","Biomedical Engineering","Assamese","Computer Graphics Technology","Astrophysical Science","Community Studies","Media Service","Maritime Safety and Security"
"Animal and Food Science","Art Studio","Business and Commerce","Early Childhood Education and Teaching","Computer Science Engineering","Biomedical Laboratory Science","Audio Technology","Computer Information Systems","Astrophysics","Computer Science","Multimedia Communication","Maritime Studies"
"Animal and Poultry Science","Art Therapy","Business and Economics","Education","Computer Systems Engineering","Biomedical Science","Bengali","Computer Networks and Communications","Atmospheric and Oceanic Science","Counseling Psychology","Neuroscience","Maritime Transport"
"Animal and Veterinary Bioscience","Art/Media/Performance","Business and Entertainment","Education Administration","Cybersecurity","Biomedicine","Chicana/o Studies","Computer Programming","Atmospheric and Planetary Science","Criminal and Social Justice","Park and Tourism Management","Maritime Transport Technology"
"Animal and Veterinary Science","Asian Studies","Business and Law","Education General","Data Science","Biomolecular Engineering","Child Development","Computer Science","Atmospheric Science","Criminal Justice","Parks","Maritime Transportation"
"Animal Biology","Audio Technology","Business and Management","Education Studies","Data Science and Analytics","Biophysics","Chinese","Computer Science and Engineering","Biochemistry","Criminal Justice/Safety Studies","Physics","Military Science"
"Animal Biotechnology","Cartoon and Animation","Business Data Analytics","Educational Administration","Data Science and Engineering","Bioscience","Chinese Language","Computer Science and Information Technology","Biochemistry and Biophysics","Criminology","Public Administration","Military Studies"
"Animal Breeding and Genetics","Ceramic Art","Business Economics","Educational Administration and Management","Electrical","Biostatistics","Chinese Language and Culture","Computer Software and Media Applications","Biochemistry and Cell Biology","Criminology and Criminal Justice","Recreation","Naval Architecture"
"Animal Ecology","Ceramic Design","Business Information Systems","Educational Administration and Supervision","Electrical and Computer Engineering","Biotechnology","Chinese Language and Literature","Computer Systems","Biochemistry and Molecular Biology","Cultural Management and Communication","Recreation and Leisure Studies","Naval Architecture and Shipbuilding"
"Animal Genetics and Breeding","Ceramics","Business Information Technology","Educational Leadership","Electrical and Computer Systems Engineering","Brain and Cognitive Science","Chinese Literature","Computer Systems Networking and Telecommunications","Bioengineering","Cultural Studies","Rehabilitation and Human Services","Navigation"
"Animal Husbandry","Chinese","Business Language and Culture","Educational Leadership and Administration","Electrical and Electronic Engineering","Cell and Gene Regenerative Medicine","Chinese Studies","Computer/Information Technology Services Administration and Management","Bioinformatics","Decision Science and Policy Management","Retail and Sport Management","Ocean Engineering and Naval Architecture"
"Animal Husbandry and Dairy Science","Chinese Literature","Business Law","Educational Leadership and Policy Analysis","Electrical and Electronics","Cell Biology and Development","Classical Languages","Control and Dynamical Systems","Biological and Life Science","Development Economics and International Development","Safety Engineering","Physical Education and Defense Training"
"Animal Nutrition","Church Music and Performance","Business Management","Educational Leadership and Policy Studies","Electrical and Electronics Engineering","Cellular and Developmental Biology","Classical Studies","Cybersecurity","Biological Chemistry","Development Sociology","Social Work","Political Science"
"Animal Resources","Cinema and Media Studies","Business Statistics","Educational Management","Electrical Communication Engineering","Cellular and Molecular Biology","Classical Tamil Studies","Cybersecurity and Data Science","Biological Science","Development Studies","Statistics","Psychology"
"Animal Science","Cinema and Television Technology","Business Technology","Educational Policy","Electrical Engineering","Cellular and Molecular Medicine","Classics","Data Analytics","Biology","Diplomacy","Tourism","Public Relations and Strategic Communication"
"Animal Science and Industry","Cinema Studies","Business/Commerce General","Educational Psychology","Electronics","Cellular Biology","Classics and Classical Languages","Data Modeling/Warehousing","Biology and Society","Disability Studies","Tourism and Hospitality","Railway Transport"
"Applied Biological Chemistry","Cinematography and Film/Video Production","Civil Law","Educational Science","Electronics and Communication Engineering","Chemical and Biomolecular Engineering","Cognitive Science","Data Modeling/Warehousing and Database Administration","Biology/Biological Science","Econometrics and Quantitative Economics","Tourism and Hospitality Management","Safety Studies"
"Applied Biological Science","City and Regional Planning","Commerce","Educational Studies","Electronics and Instrumentation","Chemical Biology","Communication","Data Science","Biomathematics","Economics","Tourism and Travel Management","Security"
"Aquaculture","Classics","Commerce and Laws","Educational Technology","Electronics and Instrumentation Engineering","Chemistry","Communication Studies","Data Science and Analytics","Biomedical Engineering","Education","Tourism and Travel Services Management","Security Engineering"
"Aquatic Resources Management","Communication","Commercial Business","Elementary Education","Electronics and Telecommunication Engineering","Child and Family Studies","Comparative Culture Studies","Data Science and Engineering","Biomedical Science","Education Studies","Tourism Management","Security Management"
"Biobehavioral Health","Communication Art","Commercial Law","Elementary Education and Teaching","Electronics Engineering","Child Development","Comparative Cultures and Literatures","Digital Banking and Finance","Biophysics","Ethnology","Tourism Service Management","Security Studies"
"Bioenvironmental Engineering","Communication Art and Science","Communications","English Education","Electronics Engineering Electronics and Communication Engineering","Childcare","Comparative History of Ideas","Digital Communications","Bioproduction Science","Experimental Psychology","Youth Services/Administration","Sociology"
"Biological and Agricultural Engineering","Communication Design","Company Secretary","English Language Education","Engineering","Chiropractic","Comparative Literature","Digital Convergence","Bioresource Production Science","Family Studies","Youth Studies","Supply Chain Management"
"Biological and Environmental Engineering","Communication for Health Professionals","Company Secretaryship","English Language Teaching","Engineering Technology","Clinical Embryology","Comparative Studies","Digital Healthcare","Biostatistics","Film/Cinema/Media Studies","NA","Traffic Engineering"
"Biological Function","Communication Studies","Computer Applications","English Pedagogy","Environmental Engineering","Clinical Exercise Physiology","Computational Science","Digital Journalism and Multimedia Applications","Biotechnology","Gender and Women's Studies","NA","Traffic Management"
"Biological Science","Comparative Literature","Constitutional and Administrative Law","English Teacher Education","Environmental Science","Clinical Laboratory Science","Computer Science","Digital Marketing","Botany","Geography","NA","Transportation and Logistics"
"Biological Systems Engineering","Construction and Planning","Construction Economics","English/Language Art Teacher Education","Food Technology","Clinical Neurosciences","Creative Writing","Digital Media","Cell Biology and Development","Global Business","NA","Transportation Engineering"
"Bioproduction Science","Convergence Design","Construction Management","English-Chinese","Geospatial Engineering","Clinical Pharmacy","Criminology","Digital Media Technology","Cellular and Developmental Biology","Global Business and Strategy","NA","Transportation Safety"
"Bioproducts and Biosystems Engineering","Craft","Consumer Studies","English-Korean","Geotechnical Engineering","Clinical Practice","Cultural Anthropology","Digital Transformation","Cellular and Molecular Biology","Global Studies","NA","Transportation Safety Engineering"
"Bioresource and Agricultural Engineering","Craft Design","Corporate and Securities Law","Exceptional Education","Industrial Engineering","Clinical Psychology","Cultural Studies","E-commerce","Chemical Engineering","Government","NA","Unmanned Aerial Vehicle Engineering"
"Bioresource and Environmental Science","Creative Art","Corporate Communication","Exercise Science","Industrial Engineering and Management","Clinical Science","Dance and Media","Electrical and Computer Engineering","Chemical Technology","Government and Politics","NA","Urban Planning and Infrastructure"
"Bioresource and Sustainable Systems","Creative Industries","Corporate Innovation and Entrepreneurship","Family and Community Studies","Information and Communication Engineering","Clinical/Medical Laboratory Technician","Data Science","Electrical Engineering","Chemistry","Health Economics","NA","NA"
"Bioresource Engineering","Creative Science","Corporate Law","Fine Art Education","Information and Computer Engineering","Cognitive and Brain Science","Divinity","Electrical Engineering and Computer Science","Chemistry and Biotechnology","Health Management","NA","NA"
"Bioresource Production Science","Creative Writing","Corporate Reporting and Analysis","Foreign Language Education","Information and Computer Science","Cognitive Science","East Asian Languages","Electronic and Information Communication Engineering","Chemistry and Chemical Biology","Health Psychology","NA","NA"
"Bioresource Research","Dance","Corporate Secretaryship","Foreign Language Teacher Education","Information and System Engineering","Communication Disorders","East Asian Languages and Civilizations","Electronic Engineering","Clinical Psychology","History","NA","NA"
"Bioresource Science","Dance and Performance Studies","Criminal Law","Foreign Language Teaching","Information and Systems Engineering","Communication Science and Disorders","East Asian Languages and Cultures","Electronics and Communication Engineering","Computational Biology","Home Economics","NA","NA"
"Biosystems Engineering","Design","Customs","French pedagogy","Information Engineering","Communication Studies","East Asian Languages and Literatures","Electronics and Telecommunications Engineering","Computational Biology and Bioinformatics","Human and Social Science","NA","NA"
"Biotechnology","Design and Merchandising","Customs Management","Geography","Information Science","Community Health","East Asian Studies","Embedded Systems","Computational Mathematics","Human Development","NA","NA"
"Breeding","Design Engineering","Data Science and Business Analytics","Geography Education","Information Science and Engineering","Computational Biology","Economics","Energy Convergence","Computer Science","Human Development and Family Studies","NA","NA"
"Crop and Soil Science","Design Media Art","Development Economics","Health Education and Behavior","Information Science and Technology","Computational Biology and Bioinformatics","English","Engineering Management","Creative Writing","Human Relations","NA","NA"
"Crop Production","Design Science","Digital Banking and Finance","Higher Education","Information Science Engineering","Control and Dynamical Systems","English and Comparative Literature","Financial Technology","Development and Cell Biology","Human Science","NA","NA"
"Crop Science","Design Studies","Digital Business","Higher Education Administration","Information Systems","Dental","English and Professional Communication","Game Development","Earth","Humanities","NA","NA"
"Dairy and Food Science","Digital Art","Digital Convergence Business","History","Information Technology","Dental Hygiene","English for International Business","Game Technology","Earth and Atmospheric Science","Humanities and Social Science","NA","NA"
"Dairy Science","Digital Communications","Digital Marketing","History Education","Instrumentation and Applied Physics","Dental Medicine","English for Maritime","Geographic Information Science","Earth and Environment","Information Science","NA","NA"
"Ecology and Evolutionary Biology","Digital Contents","Dispute Resolution","History Pedagogy","Instrumentation and Control Engineering","Dental Science","English Language","Geospatial Information Technology","Earth and Environmental Science","Inter-Cultural Communication","NA","NA"
"Ecosystem Science and Management","Digital Contents Design","E-business","Home Economics","Instrumentation Engineering","Dental Surgery","English Language and Culture","Health Informatics","Earth and Ocean Science","International Economics","NA","NA"
"Education and Communications","Digital Culture","E-commerce","Home Economics Education","Instrumentation Technology","Dental Technology","English Language and Literature","Health Promotion","Earth and Planetary Science","International Law","NA","NA"
"Entomology","Digital Design","Econimics","Home Science","Machine Design","Dentistry","English Language Studies","Healthcare Data Science and Artificial Intelligence","Earth and Space Science","International Relations","NA","NA"
"Environmental and Natural Resource Science","Digital Film Production","Econometrics","Human and Social Science","Manufacturing Engineering","Dermatology","English Linguistics","Human-Computer Interaction","Earth Science","International Relations and Affairs","NA","NA"
"Environmental and Resource Management","Digital Filmmaking","Economic Law","Human Development and Family Science","Manufacturing Engineering and Automation","Diagnostic Radiography","English Literature","Informatics","Earth System Science","International Relations and Diplomacy","NA","NA"
"Environmental Biotechnology","Digital Media","Economic Management","Human Development and Family Studies","Material Science and Engineering","Dietetics","English Studies","Information and Communication Engineering","Earth/Astronomy","International Studies","NA","NA"
"Environmental Conservation and sustainability","Digital Media and Design","Economics","Human Relations","Materials Engineering","Education and Behavior","Environmental Studies","Information and Communication Technology","Ecology","International/Global Studies","NA","NA"
"Environmental Design","Digital Media Design","Economics and Finance","Human Science","Materials Science","Educational Leadership and Administration","Ethics/Peace/Human Rights","Information and Computer Engineering","Ecology and Evolutionary Biology","Journalism","NA","NA"
"Environmental Horticulture","Digital Media Technology","Economics and Management","Informatics in Education","Materials Science and Engineering","Elementary Education","European Studies","Information and Computer Science","Electronics and Instrumentation","Journalism and Communication","NA","NA"
"Environmental Management","Digital Photography","Entrepreneurship","Information Technology Education","Mechanical","Emergency Health","Feminist Studies","Information and Data Science","Entomology","Journalism and Mass Communication","NA","NA"
"Environmental Science","Digital Technology and Culture","Entrepreneurship and Organization","Instructional Design and Technology","Mechanical and Automation Engineering","Emergency Health Care","Film","Information and Decision Science","Environmental and Ecological Engineering","Law","NA","NA"
"Environmental Science and Technology","Directing and Theatrical Production","Environmental Law","Instructional Systems Design","Mechanical Engineering","Environmental Engineering","Film and Media Studies","Information and System Engineering","Environmental Biology","Law and Society","NA","NA"
"Equine Science","Drama","Event Management","Instructional Technology","Mechanical Systems Engineering","Environmental Health","Film Studies","Information Communication Engineering","Environmental Conservation","Legal Studies","NA","NA"
"Equine Studies","Drama and Performance","Finance","International Relations Education","Mechatronics","Environmental Health and Engineering","French","Information Engineering","Environmental Design","Library Science","NA","NA"
"Fisheries","Drama and Theatre Art","Finance and Banking","J’rai Culture and Education","Mechatronics Engineering","Environmental Science","French Language","Information Network","Environmental Engineering","Literature","NA","NA"
