"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"Rural Development","Image Art","International Economics and Business","Sport and Exercise Science","Biomedical Engineering","Human Biology","Journalism and Communication","NA","Materials Science and Engineering","Vietnam Studies","NA","NA"
"Sericulture","Industrial Design","International Finance","Sport Science","Building Systems Engineering","Human Development","Journalism and Mass Communication","NA","Mathematical Science","Vietnamese Studies","NA","NA"
"Soil","Instrumental Music","International Law","Sports Coaching","Chemical and Biological Engineering","Human Development and Family Science","Judaic Studies","NA","Mathematics","NA","NA","NA"
"Soil and Crop Science","Integrated Media","International Management","Sports Management","Chemical and Biomolecular Engineering","Human Development and Family Studies","Kannada","NA","Mathematics and Informatics","NA","NA","NA"
"Soil and Environmental Science","Interaction Design","International Relations","Teacher Education","Chemical Engineering","Human Evolutionary Biology","Kashmiri","NA","Mathematics and Physics","NA","NA","NA"
"Soil and Insect Science","Interactive and Visual Design","International Studies","Teacher Training","Chemical Engineering and Biotechnology","Human Genetics","Korean","NA","Medical Laboratory Technology","NA","NA","NA"
"Soil and Water Science","Interactive Media","International Trade","Teacher Training for Mathematics","Chemistry","Human Nutrition","Korean Classics","NA","Meteorology","NA","NA","NA"
"Soil Science","Interactive Media Design","Investment Economics","Teaching","Civil and Environmental Engineering","Human Nutrition and Dietetics","Korean Language","NA","Microbiology","NA","NA","NA"
"Soil Science and Agricultural Chemistry","Interior and Exterior Design","Isenberg School of Management","Teaching and Leadership","Civil Engineering","Human Physiology","Korean Language and Culture","NA","Mineral Processing","NA","NA","NA"
"Sustainable Agriculture","Interior Architectural Design","Judicial Enforcement","Teaching and Learning","Communication Engineering","Human Science","Korean Language and Literature","NA","Molecular","NA","NA","NA"
"Sustainable Horticulture","Interior Architecture","Jurisprudence","Teaching English as a Foreign Language","Computer Engineering","Immunobiology","Korean Studies","NA","Molecular and Cell Biology","NA","NA","NA"
"Tropical Plant and Soil Science","Interior Design","Labour and Industrial Law","Teaching English to Speakers of Other Languages (TESOL)","Computer Information Systems","Industrial Pharmacy","Languages","NA","Molecular and Cellular Biology","NA","NA","NA"
"Veterinary and Biomedical Science","Intermedia","Labour Law","Teaching Technology","Computer Science","Information and Data Science","Languages and Literatures","NA","Molecular Biology","NA","NA","NA"
"Veterinary Biology","International Studies","Land Law","Teaching Vietnamese as a Second Language","Computer Science and Engineering","Instructional Design","Latin","NA","Molecular Biosciences","NA","NA","NA"
"Veterinary Biosciences","Italian","Land Management and Environmental Management","Technology Education","Construction Engineering","Integrative Physiology","Latin American and Caribbean Studies","NA","Nanobiotechnology","NA","NA","NA"
"Veterinary Medicine","Japanese Literature","Law","Training and Development","Control and Instrumentation Engineering","Kinesiology","Latin American and Iberian Cultures","NA","Nano-material Science and Engineering","NA","NA","NA"
"Veterinary Nursing","Japanese Studies","Leadership and Organization Effectiveness","Vietnamese Language and Literature Education","Cybersecurity","Kinesiology and Exercise Science","Latin American and Iberian Studies","NA","Nanotechnology","NA","NA","NA"
"Veterinary Science","Jewellery and Object Design","Legal History","Vocational Education","Data Science","Kinesiology and Recreation","Latin American and Latino Studies","NA","Natural Resources and Environment","NA","NA","NA"
"Veterinary Science and Animal Husbandry","Journalism","Legal Practice","Youth and Community Studies","Data Science Engineering","Laboratory Medicine","Latin American Studies","NA","Neurobiology","NA","NA","NA"
"Veterinary Technology","Korean Painting","Legal Process","Youth and Family Studies","Design and Human Factors Engineering","Language and Hearing Science","Latin Language and Literature","NA","Neuroscience","NA","NA","NA"
"Viticulture and Oenology","Korean Traditional Music","Legal Studies","NA","Design and Manufacturing Engineering","Learning Science","Liberal Art","NA","Nutrition","NA","NA","NA"
"Water and Environmental Science","Korean Traditional Painting","Legal Theory","NA","Design Engineering","Life Science and Technology","Liberal Art and Science","NA","Nutrition and Dietetics","NA","NA","NA"
"Wildlife and Conservation Science","Landscape Architecture","Logistics","NA","Digital Convergence","Marine Science","Liberal Studies","NA","Nutritional Biochemistry and Metabolism","NA","NA","NA"
"Wood Processing Technology","Lighting Design","Logistics and Distribution Management","NA","Drone Engineering","Medical","Library","NA","Oceanography","NA","NA","NA"
"NA","Literary Art","Logistics and Port Management","NA","Educational Leadership and Administration","Medical Humanities","Library and Information Science","NA","Oil and Gas Technology","NA","NA","NA"
"NA","Literature","Logistics and Supply Chain Management","NA","Electric Energy Engineering","Medical Imaging","Linguistics","NA","Organismic and Evolutionary Biology","NA","NA","NA"
"NA","Media and Music labs","Management","NA","Electrical and Electronic Engineering","Medical Imaging Technology","Linguistics and Literature","NA","Pharmaceutical Chemistry","NA","NA","NA"
"NA","Media and Performance","Management and Economics","NA","Electrical and Electronic Information Engineering","Medical Informatics","Linguistics and Philosophy","NA","Pharmaceutical Technology","NA","NA","NA"
"NA","Media Art","Management and Entrepreneurship","NA","Electrical Engineering","Medical Laboratory Science","Literary Art","NA","Pharmacology and Toxicology","NA","NA","NA"
"NA","Media Art and Production","Management and Human Resources","NA","Electrical Engineering and Information Science","Medical Laboratory Technology","Literature","NA","Philosophy","NA","NA","NA"
"NA","Media Art and Science","Management and Information Science","NA","Electrical Engineering and Information Systems","Medical Microbiology","Literatures and Cultures","NA","Physics","NA","NA","NA"
"NA","Media Design","Management and Organization","NA","Electronic Device Engineering","Medical Physics","Malay","NA","Physics and Astronomy","NA","NA","NA"
"NA","Media Studies","Management and Society","NA","Electronic Engineering","Medical Radiation Science","Malayalam","NA","Physics and Technology","NA","NA","NA"
"NA","Merchandising and Design","Management Consulting","NA","Electronics Engineering","Medical Radiological Technology","Marathi","NA","Planetary and Space Science","NA","NA","NA"
"NA","Motion Graphics","Management Engineering","NA","Elementary Education","Medical Rehabilitation","Maritime Policy and Law","NA","Plant Biology","NA","NA","NA"
"NA","Multimedia and Communication","Management Information Systems","NA","Embedded Systems Engineering","Medical Science","Mass Communication","NA","Plant Breeding and Genetics","NA","NA","NA"
"NA","Multimedia Communications","Management of Travel and Tourism Services","NA","Energy and Chemical Engineering","Medical Technology","Mathematics","NA","Plant Pathology","NA","NA","NA"
"NA","Multimedia Technology","Management Science","NA","Energy Engineering","Medicine","Media and Communication","NA","Policy and Management","NA","NA","NA"
"NA","Museum Studies","Management Science and Engineering","NA","Energy Science and Engineering","Microbiology","Media Studies","NA","Polymer Science and Engineering","NA","NA","NA"
"NA","Music","Management Science and Information Systems","NA","Energy Systems Engineering","Midwifery","Middle East Studies","NA","Polymer Technology","NA","NA","NA"
"NA","Music and Technology","Management Studies","NA","Engineering","Molecular","Middle Eastern and South Asian Languages and Literature","NA","Psychology","NA","NA","NA"
"NA","Music Composition","Maritime Business Administration","NA","Engineering Physics/Applied Physics","Molecular Biology and Genetics","Middle Eastern Studies","NA","Pure and Applied Chemistry","NA","NA","NA"
"NA","Music Education","Maritime Law","NA","Engineering Science","Molecular Biosciences and Biotechnology","Ministry","NA","Religious Studies","NA","NA","NA"
"NA","Music General","Marketing","NA","Engineering Technology","Moxibustion","Mizo","NA","Russian Studies","NA","NA","NA"
"NA","Music Industry","Marketing Management","NA","Environmental and Urban Engineering","Neurobiology","Modern Culture and Media","NA","Science","NA","NA","NA"
"NA","Music Performance","Medical Management","NA","Environmental Engineering","Neuroscience","Modern Languages","NA","Science Education","NA","NA","NA"
"NA","Music Technology","Multimedia Communications","NA","Environmental Studies","Nursing","Modern Languages and Cultures","NA","Social Science and Humanities","NA","NA","NA"
"NA","Music Therapy","Nonprofit/Public Organizational Management","NA","Game Engineering","Nursing-Midwifery","Modern Languages and Literatures","NA","Soil Science","NA","NA","NA"
"NA","Musical Theatre","Non-Profit/Public/Organizational Management","NA","General Engineering","Nutrition","Music","NA","Soil Science and Agricultural Chemistry","NA","NA","NA"
"NA","Packaging","Notary Public","NA","Industrial and Systems Engineering","Nutrition and Health Science","Near and Middle Eastern Studies","NA","Spanish Studies","NA","NA","NA"
"NA","Painting","Operations and Supply Chain Management","NA","Industrial Engineering","Nutritional Biochemistry and Metabolism","Near Eastern Languages and Civilizations","NA","Sport and Exercise Science","NA","NA","NA"
"NA","Painting and Drawing","Operations and Supply Management","NA","Industrial Engineering and Management","Nutritional Science","Near Eastern Studies","NA","Statistics","NA","NA","NA"
"NA","Performing Art","Operations and Technology Management","NA","Information and Communication Engineering","Occupational Health and Safety","Near/Middle Eastern Studies","NA","Statistics and Applied Mathematics","NA","NA","NA"
"NA","Philosophy","Operations Management","NA","Information and Communication Technology","Occupational Therapy","Oriental Studies","NA","Statistics and Data Analytics","NA","NA","NA"
"NA","Photography","Operations Research","NA","Information and Computer Engineering","Odonto-Stomatology","Other Languages","NA","Statistics and Machine Learning","NA","NA","NA"
"NA","Photography and Imaging","Organizational Behavior","NA","Information and Computer Science","Operation Theatre Technology","Other Languages and Literature","NA","Statistics and Operations Research","NA","NA","NA"
"NA","Physical Education","Organizational Behavior and Human Resource Management","NA","Information and System Engineering","Optics","Other Languages and Literatures","NA","Structural Biology","NA","NA","NA"
"NA","Political Science","Organizational Leadership","NA","Information and Systems Engineering","Optometry","Pedagogical English","NA","Sustainable Food and Farming Systems","NA","NA","NA"
"NA","Practical Music","Policy Management","NA","Information Engineering","Oral Health Science","Persian","NA","Systems Biology","NA","NA","NA"
"NA","Printmaking","Policy Studies","NA","Information Network Engineering","Oriental Medicine","Philosophy","NA","TESOL","NA","NA","NA"
"NA","Product and Industrial Design","Political Science","NA","Information Processing Engineering","Paramedical Science","Philosophy and Economics","NA","Tourism","NA","NA","NA"
